2023-02-24 18:30:02.383 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2023-02-24 18:30:02.383 [info] Added views:workbench.panel.output in workbench.panel.output
2023-02-24 18:30:02.383 [info] Added views:terminal in terminal
2023-02-24 18:30:02.383 [info] Added views:outline in workbench.view.explorer
2023-02-24 18:30:02.383 [info] Added views:workbench.scm in workbench.view.scm
2023-02-24 18:30:02.384 [info] Added views:workbench.view.search in workbench.view.search
2023-02-24 18:30:02.384 [info] Added views:timeline in workbench.view.explorer
2023-02-24 18:30:02.384 [info] Added views:workbench.explorer.emptyView in workbench.view.explorer
2023-02-24 18:30:02.623 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-02-24 18:30:02.644 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2023-02-24 18:30:25.662 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2023-02-24 18:30:25.663 [info] Removed views:workbench.views.extensions.popular from workbench.view.extensions
2023-02-24 18:30:26.018 [info] Added views:workbench.views.extensions.popular in workbench.view.extensions
2023-02-24 18:30:26.301 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2023-02-24 18:30:26.308 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-02-24 18:34:47.348 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-02-24 18:34:47.358 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2023-02-24 18:34:48.768 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2023-02-24 18:34:48.788 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-02-24 18:35:31.239 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-02-24 18:35:31.252 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2023-02-24 18:35:32.175 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2023-02-24 18:35:32.188 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-02-24 18:35:32.506 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-02-24 18:35:32.513 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2023-02-24 18:35:34.419 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2023-02-24 18:35:34.437 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-02-24 18:35:38.423 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-02-24 18:35:38.438 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2023-02-24 18:35:43.229 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2023-02-24 18:35:43.235 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-02-24 18:35:45.058 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-02-24 18:35:45.060 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2023-02-24 18:35:47.874 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2023-02-24 18:35:47.885 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-02-24 18:35:49.097 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-02-24 18:35:49.103 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2023-02-24 18:35:52.244 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2023-02-24 18:35:52.255 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-02-24 18:36:06.182 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-02-24 18:36:06.196 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2023-02-24 18:36:07.578 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2023-02-24 18:36:07.598 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
